symbol,date,open,high,low,close
BTC,2017-01-16T00:00:00Z,821.17,836.66,817.7,827.34
BTC,2017-01-17T00:00:00Z,827.34,906.38,825.04,899.66
BTC,2017-01-18T00:00:00Z,899.66,913.67,845.87,872.03
BTC,2017-01-19T00:00:00Z,872.03,905.28,870.71,895.21
BTC,2017-01-20T00:00:00Z,895.21,901.49,878.9,892.91
BTC,2017-01-21T00:00:00Z,892.91,928.93,889.46,919.84
BTC,2017-01-22T00:00:00Z,919.84,938.38,888.62,918.84
BTC,2017-01-23T00:00:00Z,918.84,927.98,910.85,921.46
BTC,2017-01-24T00:00:00Z,921.46,925.61,889.15,893.75
BTC,2017-01-25T00:00:00Z,893.75,905.7,883.63,894.41
BTC,2017-01-26T00:00:00Z,894.41,919.32,893.49,915.56
BTC,2017-01-27T00:00:00Z,915.56,922.56,907.92,918.01
BTC,2017-01-28T00:00:00Z,918.01,921.89,912.84,918.51
BTC,2017-01-29T00:00:00Z,918.51,922.4,912.68,914.55
BTC,2017-01-30T00:00:00Z,914.55,922.35,911.51,920.73
BTC,2017-01-31T00:00:00Z,920.73,967.45,917.38,965.49
BTC,2017-02-01T00:00:00Z,965.49,986.57,959.82,982.43
BTC,2017-02-02T00:00:00Z,982.43,1009.13,973.5,1003.97
BTC,2017-02-03T00:00:00Z,1003.97,1023.72,989.21,1013.02
BTC,2017-02-04T00:00:00Z,1013.02,1041.04,1000.41,1031.85
BTC,2017-02-05T00:00:00Z,1031.85,1033.66,1004.05,1016.11
BTC,2017-02-06T00:00:00Z,1016.11,1030.6,1010.83,1024.67
BTC,2017-02-07T00:00:00Z,1024.67,1054.1,1019.87,1049.56
BTC,2017-02-08T00:00:00Z,1049.56,1069.23,1020.33,1055.49
BTC,2017-02-09T00:00:00Z,1055.49,1073.03,924.65,978.96
BTC,2017-02-10T00:00:00Z,978.96,1005.6,947.02,997.61
BTC,2017-02-11T00:00:00Z,997.61,1014.32,983.93,1008.32
BTC,2017-02-12T00:00:00Z,1008.32,1007.82,992.45,996.52
BTC,2017-02-13T00:00:00Z,996.52,1007.61,975.1,995.36
BTC,2017-02-14T00:00:00Z,995.36,1013.8,986.46,1008.34
BTC,2017-02-15T00:00:00Z,1008.34,1010.93,999.73,1008.19
